.outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  cover
0.65,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,payment.type14,is,0,&,acquisition.sourceRAFSTC,is,0,&,acquisition.sourceCAMSTC,is,0,&,acquisition.sourceCOLBOX,is,0,&,acquisition.sourceLIGDON,is,1,,,,,,,,,,,,,,,,,,,,,&,payment.type2,is,1,,,,,,,,,,,,,,,,,,,,,,,,, 2%
0.66,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,payment.type14,is,0,&,acquisition.sourceRAFSTC,is,0,&,acquisition.sourceCAMSTC,is,0,&,acquisition.sourceCOLBOX,is,0,&,acquisition.sourceLIGDON,is,0,&,payment.type15,is,0,&,acquisition.sourceEVEEXT,is,0,&,acquisition.sourceDONEMB,is,0,&,acquisition.sourceEVESTC,is,0,&,acquisition.sourceGENDON,is,1,&,payment.type2,is,1,&,payment.type8,is,0,,,,,&,donation.amount,< , 11,&,donor.categoryEducation,is,0,,,,,,,,, 0%
0.67,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,payment.type14,is,0,&,acquisition.sourceRAFSTC,is,0,&,acquisition.sourceCAMSTC,is,0,&,acquisition.sourceCOLBOX,is,0,&,acquisition.sourceLIGDON,is,0,&,payment.type15,is,0,&,acquisition.sourceEVEEXT,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.68,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,,,,,&,acquisition.sourceRAFSTC,is,0,&,acquisition.sourceCAMSTC,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3%
0.70,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,,,,,&,acquisition.sourceRAFSTC,is,0,&,acquisition.sourceCAMSTC,is,0,&,acquisition.sourceCOLBOX,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 2%
0.72,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,payment.type14,is,0,&,acquisition.sourceRAFSTC,is,0,&,acquisition.sourceCAMSTC,is,0,&,acquisition.sourceCOLBOX,is,0,&,acquisition.sourceLIGDON,is,0,&,payment.type15,is,0,&,acquisition.sourceEVEEXT,is,0,&,acquisition.sourceDONEMB,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.72,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,,,,,&,acquisition.sourceRAFSTC,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3%
0.77,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,1,&,payment.type14,is,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,activity.clustersCluster In Memory Donations/Collections,is,0,&,donation.amount,< ,228,,,,,&,payment.type4,is,1,,,,, 0%
0.77,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,payment.type14,is,0,&,acquisition.sourceRAFSTC,is,0,&,acquisition.sourceCAMSTC,is,0,&,acquisition.sourceCOLBOX,is,0,&,acquisition.sourceLIGDON,is,0,&,payment.type15,is,0,&,acquisition.sourceEVEEXT,is,0,&,acquisition.sourceDONEMB,is,0,&,acquisition.sourceEVESTC,is,0,&,acquisition.sourceGENDON,is,1,,,,,&,payment.type8,is,0,,,,,,,,,&,donor.categoryEducation,is,1,,,,,,,,, 0%
0.79,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,payment.type14,is,0,&,acquisition.sourceRAFSTC,is,0,&,acquisition.sourceCAMSTC,is,0,&,acquisition.sourceCOLBOX,is,0,&,acquisition.sourceLIGDON,is,0,&,payment.type15,is,0,&,acquisition.sourceEVEEXT,is,0,&,acquisition.sourceDONEMB,is,0,&,acquisition.sourceEVESTC,is,0,&,acquisition.sourceGENDON,is,1,,,,,&,payment.type8,is,1,,,,,,,,,,,,,,,,,,,,, 0%
0.84,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,1,&,payment.type14,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.92,when,binari.regular.giverYes,is,0,&,activity.clustersCluster Events,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,payment.type14,is,1,&,acquisition.sourceRAFSTC,is,0,&,acquisition.sourceCAMSTC,is,0,&,acquisition.sourceCOLBOX,is,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.92,when,binari.regular.giverYes,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 5%
