.outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  cover
0.17,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,,,,,&,class.prev.source.groupNo Previous Donation,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11%
0.17,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,1,&,donor.genderFemale,is,1,&,source.groupMID,is,0,,,,,,,,,&,acquisition.groupGEN,is,0,,,,,,,,,&,class.prev.high.value.donationyes,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.18,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,,,,,,,,,&,class.prev.source.groupMID,is,1,&,acquisition.groupREG,is,0,,,,,&,acquisition.groupMID,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 8%
0.20,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,,,,,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,class.prev.source.groupMID,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.23,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,&,donor.genderFemale,is,1,,,,,,,,,&,acquisition.groupREG,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,class.prev.payment.type2,is,0,,,,,,,,,,,,,,,,,,,,, 1%
0.29,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,1,&,donor.genderFemale,is,1,&,source.groupMID,is,0,,,,,,,,,&,acquisition.groupGEN,is,0,,,,,,,,,&,class.prev.high.value.donationyes,is,0,,,,,,,,,,,,,,,,,,,,,,,,,&,acquisition.groupDOG,is,1,,,,, 0%
0.29,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,1,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,source.groupMID,is,0,,,,,,,,,,,,,&,acquisition.groupMID,is,0,,,,,,,,,&,class.prev.activity.clustersNo Previous Donation,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0%
0.32,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,0,,,,,,,,,&,class.prev.source.groupMID,is,0,&,acquisition.groupREG,is,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%
0.34,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,class.prev.source.groupMID,is,1,,,,,,,,,,,,,,,,,,,,,,,,,&,acquisition.groupEVE,is,0,,,,,,,,,,,,,,,,,,,,,,,,, 2%
0.36,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,0,&,closest.retail.storeOutside of Catchment Area,is,1,&,donor.genderFemale,is,1,&,source.groupMID,is,1,,,,,,,,,&,acquisition.groupGEN,is,0,,,,,,,,,&,class.prev.high.value.donationyes,is,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1%
0.38,when,class.prev.payment.type14,is,0,&,closest.retail.storeSacriston,is,0,&,acquisition.groupINM,is,0,&,class.prev.source.groupNo Previous Donation,is,0,&,closest.retail.storeLangley Park,is,0,&,acquisition.groupCOL,is,0,&,source.groupREG,is,0,&,acquisition.groupIND,is,0,&,closest.retail.storeLangley Moor,is,0,&,closest.retail.storeMeadowfield,is,0,&,class.prev.activity.clustersCluster Corporate Giving,is,0,&,class.prev.source.groupMER,is,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&,closest.retail.storeDurham City,is,1,,,,,,,,,,,,,,,,,,,,,&,source.groupMER,is,0,,,,,,,,,,,,, 1%
